UNIT NAME,"INTERCONNECTION REQUEST
 NUMBER (INR)",UNIT CODE,TECHNOLOGY,FUEL,CDR STATUS,CDR RESOURCE ATTRIBUTE ,COUNTY,ZONE,"IN-SERVICE
DATE","INSTALLED CAPACITY
(MW)"
ENNIS POWER STATION CTG 2,,ETCCS_CT1,CC,GAS,OPER,CONV,ELLIS,NORTH,1/1/2002, 260.0 
ENNIS POWER STATION STG 1,,ETCCS_UNIT1,CC,GAS,OPER,CONV,ELLIS,NORTH,1/1/2002, 140.0 
EXTEX LAPORTE GEN STN CTG 1,,AZ_AZ_G1,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/30/2009, 40.0 
EXTEX LAPORTE GEN STN CTG 2,,AZ_AZ_G2,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/30/2009, 40.0 
EXTEX LAPORTE GEN STN CTG 3,,AZ_AZ_G3,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/30/2009, 40.0 
EXTEX LAPORTE GEN STN CTG 4,,AZ_AZ_G4,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/30/2009, 40.0 
FERGUSON REPLACEMENT CTG 1,,FERGCC_FERGGT1,CC,GAS,OPER,CONV,LLANO,SOUTH,8/12/2014, 185.3 
FERGUSON REPLACEMENT CTG 2,,FERGCC_FERGGT2,CC,GAS,OPER,CONV,LLANO,SOUTH,8/12/2014, 185.3 
FERGUSON REPLACEMENT STG 1,,FERGCC_FERGST1,CC,GAS,OPER,CONV,LLANO,SOUTH,8/12/2014, 204.0 
FORNEY ENERGY CENTER CTG 11,,FRNYPP_GT11,CC,GAS,OPER,CONV,KAUFMAN,NORTH,2/1/2003, 196.7 
FORNEY ENERGY CENTER CTG 12,,FRNYPP_GT12,CC,GAS,OPER,CONV,KAUFMAN,NORTH,2/1/2003, 196.7 
FORNEY ENERGY CENTER CTG 13,,FRNYPP_GT13,CC,GAS,OPER,CONV,KAUFMAN,NORTH,2/1/2003, 196.7 
FORNEY ENERGY CENTER CTG 21,,FRNYPP_GT21,CC,GAS,OPER,CONV,KAUFMAN,NORTH,2/1/2003, 196.7 
FORNEY ENERGY CENTER CTG 22,,FRNYPP_GT22,CC,GAS,OPER,CONV,KAUFMAN,NORTH,2/1/2003, 196.7 
FORNEY ENERGY CENTER CTG 23,,FRNYPP_GT23,CC,GAS,OPER,CONV,KAUFMAN,NORTH,2/1/2003, 196.7 
FORNEY ENERGY CENTER STG 10,,FRNYPP_ST10,CC,GAS,OPER,CONV,KAUFMAN,NORTH,2/1/2003, 422.0 
FORNEY ENERGY CENTER STG 20,,FRNYPP_ST20,CC,GAS,OPER,CONV,KAUFMAN,NORTH,2/1/2003, 422.0 
FREESTONE ENERGY CENTER CTG 1,,FREC_GT1,CC,GAS,OPER,CONV,FREESTONE,NORTH,6/1/2002, 179.4 
FREESTONE ENERGY CENTER CTG 2,,FREC_GT2,CC,GAS,OPER,CONV,FREESTONE,NORTH,6/1/2002, 179.4 
FREESTONE ENERGY CENTER CTG 4,,FREC_GT4,CC,GAS,OPER,CONV,FREESTONE,NORTH,4/1/2002, 179.4 
FREESTONE ENERGY CENTER CTG 5,,FREC_GT5,CC,GAS,OPER,CONV,FREESTONE,NORTH,4/1/2002, 179.4 
FREESTONE ENERGY CENTER STG 3,,FREC_ST3,CC,GAS,OPER,CONV,FREESTONE,NORTH,6/1/2002, 190.7 
FREESTONE ENERGY CENTER STG 6,,FREC_ST6,CC,GAS,OPER,CONV,FREESTONE,NORTH,4/1/2002, 190.7 
FRIENDSWOOD G CTG 1 (FORMERLY TEJAS POWER GENERATION),,FEGC_UNIT1,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/8/2018, 129.0 
FRONTERA ENERGY CENTER CTG 1,,FRONT_EC_CT1,CC,GAS,OPER,CONV,HIDALGO,SOUTH,8/23/2023, 177.0 
FRONTERA ENERGY CENTER CTG 2,,FRONT_EC_CT2,CC,GAS,OPER,CONV,HIDALGO,SOUTH,8/23/2023, 177.0 
FRONTERA ENERGY CENTER STG,,FRONT_EC_ST,CC,GAS,OPER,CONV,HIDALGO,SOUTH,8/23/2023, 184.5 
GRAHAM STG 1,,GRSES_UNIT1,ST,GAS,OPER,CONV,YOUNG,WEST,12/19/1960, 239.0 
GRAHAM STG 2,,GRSES_UNIT2,ST,GAS,OPER,CONV,YOUNG,WEST,6/5/1969, 390.0 
GREENS BAYOU CTG 73,,GBY_GBYGT73,GT,GAS,OPER,CONV,HARRIS,HOUSTON,12/16/1976, 72.0 
GREENS BAYOU CTG 74,,GBY_GBYGT74,GT,GAS,OPER,CONV,HARRIS,HOUSTON,12/16/1976, 72.0 
GREENS BAYOU CTG 81,,GBY_GBYGT81,GT,GAS,OPER,CONV,HARRIS,HOUSTON,12/16/1976, 72.0 
GREENS BAYOU CTG 82,,GBY_GBYGT82,GT,GAS,OPER,CONV,HARRIS,HOUSTON,12/16/1976, 72.0 
GREENS BAYOU CTG 83,,GBY_GBYGT83,GT,GAS,OPER,CONV,HARRIS,HOUSTON,12/16/1976, 72.0 
GREENS BAYOU CTG 84,,GBY_GBYGT84,GT,GAS,OPER,CONV,HARRIS,HOUSTON,12/16/1976, 72.0 
GREENVILLE IC ENGINE PLANT IC 1,,STEAM_ENGINE_1,IC,GAS,OPER,CONV,HUNT,NORTH,6/1/2010, 8.4 
GREENVILLE IC ENGINE PLANT IC 2,,STEAM_ENGINE_2,IC,GAS,OPER,CONV,HUNT,NORTH,6/1/2010, 8.4 
GREENVILLE IC ENGINE PLANT IC 3,,STEAM_ENGINE_3,IC,GAS,OPER,CONV,HUNT,NORTH,6/1/2010, 8.4 
GREGORY POWER PARTNERS GT1,,LGE_LGE_GT1,CC,GAS,OPER,CONV,SAN PATRICIO,COASTAL,7/15/2000, 185.0 
GREGORY POWER PARTNERS GT2,,LGE_LGE_GT2,CC,GAS,OPER,CONV,SAN PATRICIO,COASTAL,7/15/2000, 185.0 
GREGORY POWER PARTNERS STG,,LGE_LGE_STG,CC,GAS,OPER,CONV,SAN PATRICIO,COASTAL,7/15/2000, 100.0 
GUADALUPE ENERGY CENTER CTG 1,,GUADG_GAS1,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,12/1/2000, 181.0 
GUADALUPE ENERGY CENTER CTG 2,,GUADG_GAS2,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,12/1/2000, 181.0 
GUADALUPE ENERGY CENTER CTG 3,,GUADG_GAS3,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,12/1/2000, 181.0 
GUADALUPE ENERGY CENTER CTG 4,,GUADG_GAS4,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,12/1/2000, 181.0 
GUADALUPE ENERGY CENTER STG 5,,GUADG_STM5,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,12/1/2000, 204.0 
GUADALUPE ENERGY CENTER STG 6,,GUADG_STM6,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,12/1/2000, 204.0 
HANDLEY STG 3,,HLSES_UNIT3,ST,GAS,OPER,CONV,TARRANT,NORTH,1/1/1963, 395.0 
HANDLEY STG 4,,HLSES_UNIT4,ST,GAS,OPER,CONV,TARRANT,NORTH,1/1/1976, 435.0 
HANDLEY STG 5,,HLSES_UNIT5,ST,GAS,OPER,CONV,TARRANT,NORTH,1/1/1977, 435.0 
HAYS ENERGY FACILITY CSG 1,,HAYSEN_HAYSENG1,CC,GAS,OPER,CONV,HAYS,SOUTH,5/28/2002, 242.0 
HAYS ENERGY FACILITY CSG 2,,HAYSEN_HAYSENG2,CC,GAS,OPER,CONV,HAYS,SOUTH,4/19/2002, 242.0 
HAYS ENERGY FACILITY CSG 3,,HAYSEN_HAYSENG3,CC,GAS,OPER,CONV,HAYS,SOUTH,8/16/2002, 252.0 
HAYS ENERGY FACILITY CSG 4,,HAYSEN_HAYSENG4,CC,GAS,OPER,CONV,HAYS,SOUTH,8/15/2002, 252.0 
HIDALGO ENERGY CENTER CTG 1,,DUKE_DUKE_GT1,CC,GAS,OPER,CONV,HIDALGO,SOUTH,1/1/2000, 176.6 
HIDALGO ENERGY CENTER CTG 2,,DUKE_DUKE_GT2,CC,GAS,OPER,CONV,HIDALGO,SOUTH,1/1/2000, 176.6 
HIDALGO ENERGY CENTER STG 1,,DUKE_DUKE_ST1,CC,GAS,OPER,CONV,HIDALGO,SOUTH,1/1/2000, 198.1 
JACK COUNTY GEN FACILITY CTG 1,,JACKCNTY_CT1,CC,GAS,OPER,CONV,JACK,NORTH,2/1/2006, 198.9 
JACK COUNTY GEN FACILITY CTG 2,,JACKCNTY_CT2,CC,GAS,OPER,CONV,JACK,NORTH,2/1/2006, 198.9 
JACK COUNTY GEN FACILITY CTG 3,,JCKCNTY2_CT3,CC,GAS,OPER,CONV,JACK,NORTH,8/5/2011, 198.9 
JACK COUNTY GEN FACILITY CTG 4,,JCKCNTY2_CT4,CC,GAS,OPER,CONV,JACK,NORTH,8/5/2011, 198.9 
JACK COUNTY GEN FACILITY STG 1,,JACKCNTY_STG,CC,GAS,OPER,CONV,JACK,NORTH,2/1/2006, 320.6 
JACK COUNTY GEN FACILITY STG 2,,JCKCNTY2_ST2,CC,GAS,OPER,CONV,JACK,NORTH,8/5/2011, 320.6 
JOHNSON COUNTY GEN FACILITY CTG 1,,TEN_CT1,CC,GAS,OPER,CONV,JOHNSON,NORTH,1/2/1997, 185.0 
JOHNSON COUNTY GEN FACILITY STG 1,,TEN_STG,CC,GAS,OPER,CONV,JOHNSON,NORTH,1/2/1997, 107.0 
LAKE HUBBARD STG 1,,LHSES_UNIT1,ST,GAS,OPER,CONV,DALLAS,NORTH,6/18/1970, 397.0 
LAKE HUBBARD STG 2,,LHSES_UNIT2A,ST,GAS,OPER,CONV,DALLAS,NORTH,11/20/1973, 531.0 
LAMAR ENERGY CENTER CTG 11,,LPCCS_CT11,CC,GAS,OPER,CONV,LAMAR,NORTH,7/4/2000, 186.0 
LAMAR ENERGY CENTER CTG 12,,LPCCS_CT12,CC,GAS,OPER,CONV,LAMAR,NORTH,7/4/2000, 186.0 
LAMAR ENERGY CENTER CTG 21,,LPCCS_CT21,CC,GAS,OPER,CONV,LAMAR,NORTH,7/4/2000, 186.0 
LAMAR ENERGY CENTER CTG 22,,LPCCS_CT22,CC,GAS,OPER,CONV,LAMAR,NORTH,7/4/2000, 186.0 
LAMAR ENERGY CENTER STG 1,,LPCCS_UNIT1,CC,GAS,OPER,CONV,LAMAR,NORTH,7/4/2000, 216.0 
LAMAR ENERGY CENTER STG 2,,LPCCS_UNIT2,CC,GAS,OPER,CONV,LAMAR,NORTH,7/4/2000, 216.0 
LAREDO CTG 4,,LARDVFTN_G4,GT,GAS,OPER,CONV,WEBB,SOUTH,7/27/2008, 98.5 
LAREDO CTG 5,,LARDVFTN_G5,GT,GAS,OPER,CONV,WEBB,SOUTH,8/20/2008, 98.5 
LEON CREEK PEAKER CTG 1,,LEON_CRK_LCPCT1,GT,GAS,OPER,CONV,BEXAR,SOUTH,3/26/2004, 48.0 
LEON CREEK PEAKER CTG 2,,LEON_CRK_LCPCT2,GT,GAS,OPER,CONV,BEXAR,SOUTH,4/8/2004, 48.0 
LEON CREEK PEAKER CTG 3,,LEON_CRK_LCPCT3,GT,GAS,OPER,CONV,BEXAR,SOUTH,4/15/2004, 48.0 
LEON CREEK PEAKER CTG 4,,LEON_CRK_LCPCT4,GT,GAS,OPER,CONV,BEXAR,SOUTH,4/22/2004, 48.0 
LIGNIN (CHAMON 2) U1,,LIG_UNIT1,GT,GAS,OPER,CONV,HARRIS,HOUSTON,6/20/2022, 60.5 
LIGNIN (CHAMON 2) U2,,LIG_UNIT2,GT,GAS,OPER,CONV,HARRIS,HOUSTON,6/20/2022, 60.5 
LOST PINES POWER CTG 1,,LOSTPI_LOSTPGT1,CC,GAS,OPER,CONV,BASTROP,SOUTH,5/27/2001, 202.5 
LOST PINES POWER CTG 2,,LOSTPI_LOSTPGT2,CC,GAS,OPER,CONV,BASTROP,SOUTH,5/27/2001, 202.5 
LOST PINES POWER STG 1,,LOSTPI_LOSTPST1,CC,GAS,OPER,CONV,BASTROP,SOUTH,5/27/2001, 204.0 
MAGIC VALLEY STATION CTG 1,,NEDIN_NEDIN_G1,CC,GAS,OPER,CONV,HIDALGO,SOUTH,7/11/2001, 266.9 
MAGIC VALLEY STATION CTG 2,,NEDIN_NEDIN_G2,CC,GAS,OPER,CONV,HIDALGO,SOUTH,7/11/2001, 266.9 
MAGIC VALLEY STATION STG 3,,NEDIN_NEDIN_G3,CC,GAS,OPER,CONV,HIDALGO,SOUTH,7/11/2001, 258.4 
